group	names	scores	logfoldchanges	pvals	pvals_adj
15	CRYBG3	15.481401	4.315942	4.6326970039825885e-54	6.055762251527382e-51
15	HS3ST5	15.464546	5.6087494	6.019615680785344e-54	7.597377708014634e-51
15	NFIB	15.39365	4.345132	1.8055460729314548e-53	2.2028263938454723e-50
15	PCDH7	15.391033	5.43646	1.8800552206467063e-53	2.219738746157745e-50
15	PDE4B	15.310353	4.488663	6.520858011380322e-53	7.458435127329099e-50
15	CADPS	15.219972	3.7929509	2.6064337240220824e-52	2.8908509313009768e-49
15	TRPM1	14.900086	4.497593	3.2915386725854156e-50	3.5433413810381997e-47
15	CNTN4	14.858582	4.1444173	6.1207614219048835e-50	6.40074253723259e-47
15	KCNB2	14.429456	4.4441676	3.3773561639173777e-47	3.4337392487649983e-44
15	LRRTM4	14.35627	4.299653	9.732591582273372e-47	9.627637418994264e-44
15	IQCJ-SCHIP1	14.320938	3.8600993	1.6192334868571393e-46	1.5596201276962673e-43
15	ATRNL1	14.303319	3.6990123	2.086171136973804e-46	1.9578448662661075e-43
15	ST18	14.2658615	4.1748967	3.571552694413795e-46	3.268060004205983e-43
15	GRM6	14.25323	4.7136407	4.280180585334839e-46	3.820948526922938e-43
15	ZNF804A	13.930552	4.5452724	4.1315532942757436e-44	3.516720514506663e-41
